Region,Country,Plant,NumReactor,Latitude,Longitude
Europe - Western,SWEDEN,AGESTA,1,59.206022,18.082872
Europe - Western,SPAIN,ALMARAZ,2,39.8081,-5.69694
America - Latin,BRAZIL,ANGRA,3,-23.007857,-44.458098
America - Northern,UNITED STATES OF AMERICA,ARKANSAS ONE,2,35.31032,-93.231289
Europe - Western,SPAIN,ASCO,2,41.2,0.56667
America - Latin,ARGENTINA,ATUCHA,2,-33.968002,-59.20374
Europe - Western,GERMANY,AVR,1,50.903056,6.421111
Europe - Central and Eastern,RUSSIAN FEDERATION,BALAKOVO,4,52.092935,47.956762
Europe - Western,SWEDEN,BARSEBACK,2,55.744444,12.920833
America - Northern,UNITED STATES OF AMERICA,BEAVER VALLEY,2,40.6219,-80.4339
Europe - Central and Eastern,BULGARIA,BELENE,2,43.62944,25.189345
Europe - Western,FRANCE,BELLEVILLE,2,47.5075,2.8775
Europe - Central and Eastern,RUSSIAN FEDERATION,BELOYARSKY,4,56.85,61.3167
Europe - Western,UNITED KINGDOM,BERKELEY,2,51.6925,-2.493611
Europe - Western,SWITZERLAND,BEZNAU,2,47.552148,8.228175
Europe - Western,GERMANY,BIBLIS,2,49.709305,8.414744
America - Northern,UNITED STATES OF AMERICA,BIG ROCK POINT,1,45.358889,-85.197222
Europe - Central and Eastern,RUSSIAN FEDERATION,BILIBINO,4,68.050658,166.539698
Europe - Western,FRANCE,BLAYAIS,4,45.255907,-0.691883
,KAZAKHSTAN,BN-350,1,43.607,51.283
Europe - Central and Eastern,SLOVAK REPUBLIC,BOHUNICE,5,48.494444,17.681944
America - Northern,UNITED STATES OF AMERICA,BONUS,1,18.366389,-67.268611
Europe - Western,NETHERLANDS,BORSSELE,1,51.431623,3.717595
Europe - Western,UNITED KINGDOM,BRADWELL,2,51.741389,0.896944
America - Northern,UNITED STATES OF AMERICA,BRAIDWOOD,2,41.2436,-88.2289
Europe - Western,FRANCE,BRENNILIS,1,48.3533,-3.872203
Europe - Western,GERMANY,BROKDORF (KBR),1,53.850833,9.344722
America - Northern,UNITED STATES OF AMERICA,BROWNS FERRY,3,34.7042,-87.1186
America - Northern,CANADA,BRUCE,8,44.326136,-81.594719
Europe - Western,GERMANY,BRUNSBUETTEL,1,53.891667,9.201667
America - Northern,UNITED STATES OF AMERICA,BRUNSWICK,2,33.9583,-78.0106
Europe - Western,FRANCE,BUGEY,5,45.7956,5.27
